region,tool,abbreviation,genus,species,sub.spp,common.name,functional.group,reproduction,conservation.status,rarity,keystone_frequency
Carrizo,cam trap,,corvus,corax,,common raven,,,least concern,,0
Carrizo,field survey,,dasymutilla,aureola,,Velvet ant,,,not listed,,0
Carrizo,cam trap,,puma,conclor,,mountain lion,,,least concern,,0
Carrizo,cam trap,,toxostoma,redivivum,,california thrasher,,,least concern,,0
Carrizo,cam trap,,perognathus,inornatus,,San Joaquin Pocket Mouse,,,least concern,,10
Carrizo,field survey,,dicolonus,simplex,,Robber fly,,,not listed,,30
Carrizo,cam trap,,bureo,jamaicensis,,Red-Tailed hawk,,,least concern,,50
Carrizo,cam trap,,calypte,anna,,Anna's Hummingbird,,,least concern,,50
Carrizo,cam trap,,chaetodipus,californicus,,california pocket mouse,,,least concern,,50
Carrizo,cam trap,,dipodomys,californicus,,california kangroo rat,,,least concern,,50
Carrizo,field survey,,hippodania,convergens,,Ladybug,,,not listed,,50
Carrizo,cam trap,,ostopermophilus,beecheyi,,California ground squirrel,,,least concern,,55
Carrizo,cam trap,,dipodomys,ingens,,giant kangaroo rat,,,threatened ,,60
Carrizo,cam trap,,pepsis,formos,,Spider Wasp,,,not listed,,65
Carrizo,cam trap,,uta,stansburiana,,Side-blotched lizard,,,not listed,,65
Carrizo,cam trap,,calathus,ruficollis,,Ground Beetle,,,not listed,,70
Carrizo,cam trap,,chondestes,grammacus,,Lark Sparrow,,,least concern,,70
Carrizo,field survey,,icaricia,acmon,,Acmon Blue Butterfly,,,not listed,,75
Carrizo,cam trap,,oedaleonotus,enigma,,Valley Grasshopper,,,not listed,,85
Carrizo,cam trap,,rhionaeschna,multicolor,,Blueeyed Darner,,,not listed,,85
Carrizo,cam trap,,andrena,nigrips,,Big-Headed Andrena,,,not listed,,100
Carrizo,cam trap,,aspidoscelis,uniparens,,whiptail lizard,,,not listed,,100
Carrizo,transect,,crotalus ,oreganus,,western rattlesnake,,,least concern,,100
Carrizo,transect,,geococcyx,californianus,,Roadrunner,,,least concern,,100
Carrizo,cam trap,,lynx,rufus,,Bobcat,,,least concern,,100
Carrizo,cam trap,,phrynosoma,cornutum,frontale,california horned lizard,,,not listed,,50
Carrizo,cam trap,,sceloporus,occidentalis,,western Fence Lizard,,,least concern,,50
Mojave,field survey,,macrotus,californicus,,california leaf-nosed bat,,,least concern,,0
Mojave,field survey,,calypte,costae,,Costa's hummingbird,,,least concern,,0
Mojave,cam trap,,canis,latrans,,coyote,,,least concern,,50
Mojave,cam trap,,dipodomys,deserti,,desert kangaroo rat,,,least concern,,50
Mojave,cam trap,,dipodomys,merriami,,Merriam's Kangaroo rat,,,least concern,,50
Mojave,cam trap,,chaetodipus,fallax,,San Diego pocket mouse,,,least concern,,50
Mojave,cam trap,,chaetodipus,formosus,,long-tailed pocket mouse,,,least concern,,50
Mojave,cam trap,,ammospermophilus,leucurus,,white-tailed antelope squirrel,,,least concern,,50
Mojave,cam trap,,spermophilus ,tereticaudus,,round-tailed ground squirrel,,,least concern,,50
San Joaquin,transect,,pituophis,catenifer,,Pacific Gopher Snake,,,not listed,,0
San Joaquin,cam trap,,vulpes,macrotis,,kit fox,,,least concern,,20
San Joaquin,cam trap,,dipodomys,nitratoides ,,Fresno kangaroo rat,,,vulnerable,,50
San Joaquin,cam trap,,gambelia,sila,,blunt-nosed leopard lizard,,,endangered,,55
San Joaquin,cam trap,,sylvilagus,audobonii,,desert cottontail,,,least concern,,60
San Joaquin,cam trap,,ammospermophilus,nelsoni,,Nelson's antelope squirrel,,,threatened ,,70
San Joaquin,cam trap,,lepus,californicus,,black-tailed jack rabbit,,,least concern,,70
Mojave,field survey,,calypte,anna,,Anna's Hummingbird,,,least concern,population increasing,10
Mojave,field survey,,myiarchus,cinerascens,,Ash-throated flycatcher,,,least concern,population increasing,24
Mojave,field survey,,troglodytidae,bewickii,,Bewick's wren,,,least concern,population stable,3
Mojave,field survey,,archilochus,alexandri,,Black-chinned hummingbird,,,least concern,population increasing,1
Mojave,field survey,,pheucticus,melancephalus,,Black-headed grosbeak,,,least concern,population increasing,5
Mojave,field survey,,polioptila,melanura,,Black-tailed gnatcatcher,,,least concern,population decreasing,20
Mojave,field survey,,amphispiza,bilineata,,Black-throated sparrow,,,least concern,population decreasing,275
Mojave,field survey,,polioptila,caerulea,,Blue-gray Gnatcatcher,,,least concern,population increasing,71
Mojave,field survey,,campylothynchus,brunneicapillus,,Cactus wren,,,least concern,population decreasing,12
Mojave,field survey,,calypte,costae,,Costa's hummingbird,,,least concern,population stable,14
Mojave,field survey,,toxostoma,crissale,,Crissal thrasher,,,least concern,population stable,6
Mojave,field survey,,callipepla,gambelii,,Gambel's quail,,,least concern,population stable,31
Mojave,field survey,,empidonax,wrightii,,Gray flycatcher,,,least concern,population increasing,3
Mojave,field survey,,geococcyx,californianus,,Greater roadrunner,,,least concern,population stable,2
Mojave,field survey,,piplio,chlorurus,,Green-tailed towhee,,,least concern,population stable,4
Mojave,field survey,,empidonax,hammondii,,Hammond's flycatcher,,,least concern,population increasing,1
Mojave,field survey,,icterus,cucullatus,,Hooded oriole,,,least concern,population increasing,1
Mojave,field survey,,haemorhous,mexicanus,,House finch,,,least concern,population increasing,11
Mojave,field survey,,lanius,ludovicianus,,Loggerhead shrike,,,least concern,population decreasing,3
Mojave,field survey,,geothlypis,tolmiei,,MacGillvray's warbler,,,least concern,population decreasing,2
Mojave,field survey,,zenaida,macroura,,Mourning dove,,,least concern,population increasing,25
Mojave,field survey,,oreothlypis,ruficapilla,,Nashville warbler,,,least concern,population increasing,1
Mojave,field survey,,mimus,polyglottos,,Northern mockingbird,,,least concern,population stable,36
Mojave,field survey,,dryobates,nuttallii,,Nuttall's woodpecker,,,least concern,population increasing,1
Mojave,field survey,,dryobates,nuttallii/scalaris,,Nuttall's/ladderback woodpecker hybrid,,,hybrid,rare,2
Mojave,field survey,,empidonax,difficilis,,Pacific-slope flycatcher,,,least concern,population decreasing,2
Mojave,field survey,,phainopepla,nitens,,Phainopepla,,,least concern,population stable,33
Mojave,field survey,,salpinctes,obsoletus,,Rock wren,,,least concern,population decreasing,36
Mojave,field survey,,sayornis,saya,,Say's phoebe,,,least concern,population increasing,12
Mojave,field survey,,icterus,parisorum,,Scott's oriole,,,least concern,population increasing,5
Mojave,field survey,,dendroica,townsendi,,Townsend's warbler,,,least concern,population stable,3
Mojave,field survey,,auriparus,flaviceps,,Verdin,,,least concern,population increasing,33
Mojave,field survey,,tachycineta,thalassina,,Violet-green swallow,,,least concern,population increasing,9
Mojave,field survey,,vireo,gilvus,,Warbling vireo,,,least concern,population stable,1
Mojave,field survey,,tyrannus,verticalis,,Western kingbird,,,least concern,population increasing,1
Mojave,field survey,,contopus,sordidulus,,Western wood-pewee,,,least concern,population decreasing,3
